X,Y,OBJECTID,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_ADDRESS1,HQ_CITY,HQ_STATE,HQ_ZIP_CODE,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE
-74.59448,39.32036,2468,Shore Medical Center (FKA Shore Memorial Hospital),Short Term Acute Care Hospital,100 Medical Center Way,,Somers Point,NJ,8244,Atlantic,New Jersey,34,1,34001,203,199,16,16,0,0.430316,4,7
-74.4342891,39.3583314,2469,AtlantiCare Regional Medical Center - Atlantic City Campus,Short Term Acute Care Hospital,1925 Pacific Ave,,Atlantic City,NJ,8401,Atlantic,New Jersey,34,1,34001,244,540,38,38,22,0.6683105,-296,24
-73.9686632,40.9041892,2470,Englewood Hospital and Medical Center (AKA Englewood Health),Short Term Acute Care Hospital,350 Engle St,,Englewood,NJ,7631,Bergen,New Jersey,34,3,34003,531,275,26,26,11,0.6626487,256,10
-74.0632065,40.9569233,2471,Bergen New Bridge Medical Center (FKA Bergen Regional Medical Center),Short Term Acute Care Hospital,230 E Ridgewood Ave,,Paramus,NJ,7652,Bergen,New Jersey,34,3,34003,496,127,9,9,0,0.577737,369,3
-74.0106982,40.8831082,2472,Holy Name Medical Center (AKA Holy Name Health),Short Term Acute Care Hospital,718 Teaneck Rd,,Teaneck,NJ,7666,Bergen,New Jersey,34,3,34003,372,284,19,19,0,0.590739,88,6
-74.0565417,40.8840335,2473,Hackensack University Medical Center,Short Term Acute Care Hospital,30 Prospect Ave,,Hackensack,NJ,7601,Bergen,New Jersey,34,3,34003,781,687,35,35,40,0.8279994,94,29
-74.100692,40.9835909,2474,The Valley Hospital (AKA Valley Health System),Short Term Acute Care Hospital,223 N Van Dien Ave,,Ridgewood,NJ,7450,Bergen,New Jersey,34,3,34003,446,363,14,14,0,0.6296409,83,23
-74.5851859,39.9775118,2475,Deborah Heart and Lung Center,Short Term Acute Care Hospital,200 Trenton Rd,,Browns Mills,NJ,8015,Burlington,New Jersey,34,5,34005,89,86,24,24,0,0.6511665,3,3
-74.7949847,39.9860186,2476,Virtua Memorial Hospital (FKA Virtua Memorial Hospital of Burlington County),Short Term Acute Care Hospital,175 Madison Ave,,Mount Holly,NJ,8060,Burlington,New Jersey,34,5,34005,383,317,38,38,0,0.5885831,66,12
-74.8808324,40.0466266,2477,Virtua Willingboro Hospital (FKA Lourdes Medical Center of Burlington County),Short Term Acute Care Hospital,218 Sunset Rd,,Willingboro,NJ,8046,Burlington,New Jersey,34,5,34005,169,124,20,20,0,0.6589041,45,6
-75.008266,39.8281678,2478,Jefferson Stratford Hospital (FKA Kennedy University Hospital - Stratford),Short Term Acute Care Hospital,18 E Laurel Rd,,Stratford,NJ,8084,Camden,New Jersey,34,7,34007,181,522,67,67,0,0.6585064,-341,36
-75.0949231,39.9279261,2479,Virtua Our Lady of Lourdes Hospital,Short Term Acute Care Hospital,1600 Haddon Ave,,Camden,NJ,8103,Camden,New Jersey,34,7,34007,340,257,21,21,16,0.5654414,83,13
-75.1161353,39.9410298,2480,Cooper University Hospital (AKA Cooper University Health Care),Short Term Acute Care Hospital,1 Cooper Plz,,Camden,NJ,8103,Camden,New Jersey,34,7,34007,635,574,30,30,32,0.7062792,61,20
-74.8168994,39.0874828,2481,Cape Regional Health System (AKA Cape Regional Medical Center),Short Term Acute Care Hospital,2 Stone Harbor Blvd,,Cape May Court House,NJ,8210,Cape May,New Jersey,34,9,34009,242,149,16,16,0,0.4329503,93,6
-75.0584681,39.44534,2482,Inspira Medical Center Vineland (FKA South Jersey Healthcare Regional Medical Center),Short Term Acute Care Hospital,1505 W Sherman Ave,,Vineland,NJ,8360,Cumberland,New Jersey,34,11,34011,335,280,24,24,0,0.6759295,55,15
-74.2361139,40.752661,2483,VA New Jersey Health Care System - East Orange Campus (AKA East Orange VA Medical Center),VA Hospital,385 Tremont Ave,,East Orange,NJ,7018,Essex,New Jersey,34,13,34013,,,1,1,,,0,1
-74.2136147,40.7102476,2484,Newark Beth Israel Medical Center,Short Term Acute Care Hospital,201 Lyons Ave,,Newark,NJ,7112,Essex,New Jersey,34,13,34013,667,442,35,35,67,0.7236038,225,16
-74.1764487,40.7856535,2485,Clara Maass Medical Center,Short Term Acute Care Hospital,1 Clara Maass Dr,,Belleville,NJ,7109,Essex,New Jersey,34,13,34013,472,280,32,32,0,0.6394325,192,11
-74.2138513,40.7545333,2486,East Orange General Hospital,Short Term Acute Care Hospital,300 Central Ave,,East Orange,NJ,7018,Essex,New Jersey,34,13,34013,188,159,15,15,0,0.4352546,29,6
-74.3047629,40.7631494,2487,Saint Barnabas Medical Center,Short Term Acute Care Hospital,94 Old Short Hills Rd,,Livingston,NJ,7039,Essex,New Jersey,34,13,34013,585,552,46,46,56,0.7483869,33,14
-74.2055733,40.8101189,2488,Hackensack Meridian Health Mountainside Medical Center,Short Term Acute Care Hospital,1 Bay Ave,,Montclair,NJ,7042,Essex,New Jersey,34,13,34013,357,185,16,16,4,0.5924917,172,7
-74.1747061,40.7438855,2489,Saint Michaels Medical Center,Short Term Acute Care Hospital,111 Central Ave,,Newark,NJ,7102,Essex,New Jersey,34,13,34013,358,147,30,30,0,0.6493896,211,12
-74.1910884,40.7406294,2490,The University Hospital (FKA UMDNJ University Hospital),Short Term Acute Care Hospital,150 Bergen St,,Newark,NJ,7103,Essex,New Jersey,34,13,34013,519,355,41,41,42,0.7492031,164,13
-75.1499467,39.8440659,2491,Inspira Medical Center Woodbury (FKA Underwood Memorial Hospital),Short Term Acute Care Hospital,509 N Broad St,,Woodbury,NJ,8096,Gloucester,New Jersey,34,15,34015,311,233,14,14,0,0.4378505,78,8
-74.0503916,40.7163016,2492,Jersey City Medical Center,Short Term Acute Care Hospital,355 Grand St,,Jersey City,NJ,7302,Hudson,New Jersey,34,17,34017,302,272,18,18,41,0.6787168,30,7
-74.0338197,40.7407752,2493,Hoboken University Medical Center,Short Term Acute Care Hospital,308 Willow Ave,,Hoboken,NJ,7030,Hudson,New Jersey,34,17,34017,284,117,15,15,0,0.4612575,167,3
-73.9964049,40.7937964,2494,Palisades Medical Center,Short Term Acute Care Hospital,7600 River Rd,,North Bergen,NJ,7047,Hudson,New Jersey,34,17,34017,206,202,10,10,0,0.5217415,4,6
-74.0497949,40.7342535,2495,Christ Hospital,Short Term Acute Care Hospital,176 Palisade Ave,,Jersey City,NJ,7306,Hudson,New Jersey,34,17,34017,350,178,18,18,0,0.6773891,172,5
-74.1131495,40.6681933,2496,Bayonne Medical Center,Short Term Acute Care Hospital,29 E 29th St,,Bayonne,NJ,7002,Hudson,New Jersey,34,17,34017,244,131,14,14,0,0.5043174,113,5
-74.0734305,40.7917444,2497,Hudson Regional Hospital (FKA Meadowlands Hospital Medical Center),Short Term Acute Care Hospital,55 Meadowlands Pkwy,,Secaucus,NJ,7094,Hudson,New Jersey,34,17,34017,204,102,14,14,0,0.2160613,102,2
